timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temperature,humidity,current,motorVoltage,label
5413,0.0847,-0.998,0.0452,-0.9084,5.7099,0.5878,36.2,20.0,1.1649,0.5921,0
5649,0.0801,-1.0015,0.0388,0.3435,5.8855,0.6794,36.2,20.0,1.1693,0.6327,0
5860,0.0728,-1.0005,0.0405,-0.0916,6.1221,0.5954,36.2,20.0,1.1657,0.6373,0
6072,0.0842,-0.9949,0.0459,-0.6336,5.6641,0.5573,36.2,20.0,1.1677,0.6385,0
6283,0.0808,-0.9971,0.0476,-0.6412,5.8626,0.6031,36.2,20.0,1.1763,0.6376,0
6495,0.0845,-0.9966,0.0442,-0.5725,5.7786,0.5191,36.2,20.0,1.171,0.6361,0
6706,0.0864,-0.9937,0.0425,-0.6412,5.9542,0.6718,36.2,20.0,1.1702,0.6468,0
6918,0.0847,-0.9973,0.0452,-0.6412,5.5802,0.6412,36.2,20.0,1.1743,0.6433,0
7130,0.0872,-1.0,0.0405,-0.458,5.6641,0.5191,36.2,20.0,1.1705,0.6455,0
7341,0.0793,-0.9949,0.0422,-0.4198,5.7252,0.6107,36.2,20.0,1.1738,0.6479,0
7553,0.0818,-0.9937,0.0374,-0.5649,5.6794,0.6336,36.2,20.0,2.2961,6.6644,0
7788,0.0818,-0.9937,0.0374,-0.5649,5.6794,0.6336,36.2,20.0,2.368,6.7079,0
8999,1.9999,-1.52,1.8062,-2.4809,10.6947,0.9695,36.2,20.0,2.3797,6.5814,0
9210,-2.0,-1.2776,-2.0,2.4351,14.5191,-1.7328,36.2,20.0,2.3054,6.6004,0
9422,-2.0,-1.2776,-2.0,2.4351,14.5191,-1.7328,36.2,20.0,2.4153,6.6459,0
9632,-2.0,-1.2776,-2.0,2.4351,14.5191,-1.7328,36.2,20.0,2.408,6.6218,0
9865,-0.2278,-1.8772,1.9999,-2.3053,23.2748,-7.0763,36.2,20.0,2.4743,6.6057,0
10077,-0.2278,-1.8772,1.9999,-2.3053,23.2748,-7.0763,36.2,20.0,2.5089,6.6487,0
10287,1.9999,-1.2112,1.4534,0.0076,21.5344,-4.1985,36.2,20.0,2.5322,6.5803,0
10499,-2.0,-0.8889,-1.4744,2.2672,25.7099,-10.0229,36.2,20.0,2.5075,6.6738,0
10710,-2.0,-0.8889,-1.4744,2.2672,25.7099,-10.0229,36.2,20.0,2.4509,6.6116,0
10921,-2.0,-1.502,1.9999,0.5573,16.0,2.7557,36.2,20.0,2.494,6.6482,0
11132,1.9999,-1.4565,-1.1138,3.5496,12.5802,-2.7023,36.2,20.0,2.4489,6.7644,0
11344,-2.0,-0.3279,-0.501,4.229,18.2901,3.7863,36.2,20.0,2.4601,6.6027,0
11555,-1.3528,-0.8499,-2.0,-0.2366,15.5267,-3.0229,36.2,20.0,2.5152,6.6429,0
11767,-2.0,-1.074,0.1553,-0.5878,0.0763,8.9618,39.5,20.0,2.4647,6.6826,0
12003,-0.533,-2.0,1.9999,6.9084,11.3053,-6.9695,39.5,20.0,2.5415,6.5949,0
12214,-2.0,-1.2864,-2.0,-1.8626,5.0076,5.7405,39.5,20.0,2.5033,6.6795,0
12426,-2.0,0.2434,-1.0535,1.6718,-11.2519,-10.9313,39.5,20.0,2.5805,6.7041,0
12637,-2.0,-0.2024,-2.0,-0.8473,23.0534,-9.2672,39.5,20.0,2.5689,6.5762,0
12866,-2.0,-1.7976,-1.6592,-6.8626,-9.9695,2.2748,39.5,20.0,2.5425,6.5747,0
13077,-2.0,-1.0886,-2.0,7.1374,4.1908,-8.1069,39.5,20.0,2.5255,6.5916,0
13289,-2.0,-0.1926,1.9999,-0.4122,6.3969,-2.4046,39.5,20.0,2.5505,6.6053,0
13500,1.0737,0.0806,-1.7947,-10.6031,-9.0687,-1.3664,39.5,20.0,2.5414,6.6172,0
13712,-1.5085,-1.4575,1.9999,3.6641,-1.458,-1.771,39.5,20.0,2.5625,6.5577,0
13923,1.9999,-0.3025,-1.2734,-5.0,-1.7481,-3.6336,39.5,20.0,2.5438,6.7221,0
14158,-0.9951,-1.9932,1.9999,4.4504,3.5496,-6.855,39.5,20.0,2.5706,6.6408,0
14370,-2.0,-0.105,0.9592,-0.3511,-0.8931,0.3893,39.5,20.0,2.5601,6.6694,0
14582,-2.0,-2.0,-0.5972,-7.9084,-8.7328,0.4122,39.5,20.0,2.53,6.6307,0
14793,-1.7383,-1.9065,1.9999,-1.5038,2.2977,-3.1221,39.5,20.0,2.6031,6.5799,0
15005,0.802,-1.1624,-2.0,-1.3435,8.9618,-6.0534,39.5,20.0,2.608,6.5747,0
15216,1.9999,-1.1025,-2.0,3.3588,3.0076,2.5725,39.5,20.0,2.5869,6.7622,0
15428,0.6648,-0.8921,1.9999,3.0305,17.1832,-5.9542,39.5,20.0,2.6497,6.6133,0
15639,-2.0,-1.4517,1.9999,-3.5573,12.0916,5.5496,39.5,20.0,2.5785,6.639,0
15851,-2.0,-1.4517,1.9999,-3.5573,12.0916,5.5496,39.5,20.0,2.522,6.5906,0
17084,-2.0,-1.4434,1.9999,4.5878,9.5649,-3.4809,39.5,20.0,2.613,6.6606,0
