timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temperature,humidity,current,motorVoltage,label
5413,-0.0039,-0.9949,0.051,-4.0153,4.3588,-0.4504,41.3,20.0,1.1012,0.4185,0
5649,-0.0493,-0.9895,0.0645,-3.3053,6.6489,2.3511,41.3,20.0,1.107,0.4224,0
5860,0.0828,-0.9878,0.0237,-1.3511,6.0,1.7099,41.3,20.0,1.1024,0.4307,0
6072,-0.0215,-0.9714,0.073,1.0229,5.6947,0.4733,41.3,20.0,1.1008,0.4348,0
6284,-0.0095,-0.9988,0.0569,-0.542,5.7023,0.4962,41.3,20.0,1.0959,0.4403,0
6495,-0.0076,-0.998,0.0537,-0.4733,5.9466,0.2443,41.3,20.0,1.1076,0.4854,0
6707,-0.0083,-1.0024,0.0586,-0.6641,5.9313,0.5267,41.3,20.0,1.1057,0.4841,0
6919,-0.011,-0.9885,0.0569,-0.1298,5.8779,0.7023,41.3,20.0,1.0998,0.4884,0
7130,-0.0085,-0.9956,0.0605,-0.5191,5.9924,0.5725,41.3,20.0,1.1139,0.4881,0
7342,-0.0071,-0.9963,0.0525,-0.5191,5.9618,0.4885,41.3,20.0,1.1089,0.492,0
7553,-0.0076,-0.9978,0.0552,-0.542,6.1221,0.6947,40.6,24.8,1.1085,6.0315,0
7789,-0.0046,-0.9937,0.0544,-0.5878,5.6794,0.6489,40.6,24.8,1.1054,6.0116,0
8000,-0.0112,-1.001,0.0544,-0.5115,5.9389,0.626,40.6,24.8,1.1063,6.0008,0
8212,-0.0076,-0.9968,0.0645,-0.7481,5.8168,0.6183,40.6,24.8,1.1094,6.0339,0
8423,-0.0105,-0.9985,0.0601,-0.5649,5.8397,0.4351,40.6,24.8,1.1089,6.0036,0
8635,-0.012,-0.9988,0.0566,-0.7786,5.8015,0.458,40.6,24.8,1.1026,6.0428,0
8847,-0.0083,-1.0002,0.0493,-0.6489,6.0153,0.7863,40.6,24.8,1.1127,6.0703,0
9058,-0.012,-0.9963,0.053,-0.8168,5.7634,0.6489,40.6,24.8,1.1135,6.0381,0
9270,-0.0093,-0.9934,0.0537,-0.3588,5.6794,0.5038,40.6,24.8,1.1184,6.0429,0
9482,-0.0125,-0.9978,0.0518,-0.7328,5.8092,0.7176,40.6,24.8,1.114,6.0755,0
9693,-0.0066,-0.9995,0.0574,-0.7176,6.1221,0.5802,40.5,21.2,1.1125,6.0316,0
9930,-0.009,-1.0005,0.0598,-0.7481,5.7481,0.3588,40.5,21.2,1.1011,6.0067,0
10141,-0.0078,-0.9988,0.0591,-0.5115,5.8168,0.3817,40.5,21.2,1.1087,6.0057,0
10353,-0.0107,-0.9983,0.0569,-0.7481,5.9542,0.4427,40.5,21.2,1.1072,6.0341,0
10565,-0.0105,-0.9983,0.0593,-0.5038,5.8168,0.4122,40.5,21.2,1.1118,6.0054,0
10776,-0.0093,-0.999,0.0508,-0.4733,5.6718,0.6641,40.5,21.2,1.108,6.0444,0
10988,-0.0059,-0.9973,0.0532,-0.6947,5.374,0.5496,40.5,21.2,1.1143,6.0726,0
11200,-0.0105,-1.0,0.0515,-0.4122,6.0229,0.4122,40.5,21.2,1.1132,6.0419,0
11411,-0.0073,-1.0007,0.0549,-0.5344,5.9008,0.5115,40.5,21.2,1.117,6.0476,0
11623,-0.01,-1.0024,0.0549,-0.9771,5.7252,0.626,40.5,21.2,1.1163,6.0793,0
11834,-0.0078,-1.0015,0.0576,-0.458,5.7252,0.5344,40.6,21.2,1.1173,6.04,0
12071,-0.0103,-1.0022,0.0657,-0.7328,6.1145,0.5649,40.6,21.2,1.1065,6.0112,0
12282,-0.0117,-0.9971,0.054,-0.6641,6.0382,0.542,40.6,21.2,1.1111,6.0075,0
12494,-0.0122,-0.9968,0.0613,-0.6412,5.7176,0.6489,40.6,21.2,1.1162,6.0375,0
12706,-0.0054,-0.9995,0.0566,-0.4198,5.855,0.4122,40.6,21.2,1.1046,6.0109,0
12917,-0.0051,-0.9968,0.0552,-0.687,5.9466,0.5496,40.6,21.2,1.1094,6.075,0
13129,-0.009,-1.0027,0.0549,-0.7634,6.0458,0.6489,40.6,21.2,1.1038,6.045,0
13340,-0.0061,-1.0005,0.0493,-0.4046,6.0,0.6183,40.6,21.2,1.1101,6.0609,0
13552,-0.0103,-0.9961,0.0557,-0.7099,6.1374,0.7099,40.6,21.2,1.1106,6.0423,0
13763,-0.0093,-0.9973,0.0544,-0.5878,5.8473,0.3664,40.6,21.2,1.1152,6.0523,0
13975,-0.0093,-0.9966,0.0535,-0.5649,5.8092,0.7939,40.5,21.2,1.1077,6.0358,0
14211,-0.0107,-1.0022,0.0481,-0.5802,6.0458,0.6412,40.5,21.2,1.1005,6.0049,0
14422,-0.0024,-1.002,0.0535,-0.8855,6.145,0.5649,40.5,21.2,1.1013,6.0028,0
14634,-0.0034,-0.998,0.0586,-0.8321,5.8015,0.4275,40.5,21.2,1.1045,6.0426,0
14846,-0.0093,-0.999,0.0591,-0.3969,5.8244,0.2977,40.5,21.2,1.1064,6.0085,0
15057,-0.0129,-0.9963,0.0581,-0.5802,5.8855,0.687,40.5,21.2,1.1044,6.0486,0
15269,-0.0115,-0.999,0.0535,-0.6412,5.855,0.5878,40.5,21.2,1.1194,6.0782,0
15481,-0.0061,-0.9939,0.0483,-0.5496,6.0229,0.5725,40.5,21.2,1.1141,6.0517,0
15692,-0.0103,-0.9985,0.0645,-0.5038,5.855,0.5649,40.5,21.2,1.1132,6.0535,0
15904,-0.0076,-1.0005,0.0566,-0.5725,6.0382,0.4885,40.5,21.2,1.1069,6.0676,0
16115,-0.0027,-0.9961,0.0535,-0.4885,5.8015,0.6565,40.6,21.2,1.1075,6.0481,0
16351,-0.009,-1.001,0.0566,-1.0916,5.7252,0.3969,40.6,21.2,1.1127,6.0233,0
16562,-0.0093,-1.0002,0.0508,-0.7023,5.9771,0.542,40.6,21.2,1.1025,6.013,0
16774,-0.0085,-1.0002,0.0591,-0.771,5.9695,0.4809,40.6,21.2,1.1087,6.0418,0
16986,-0.0046,-0.9973,0.052,-0.6947,5.8702,0.5725,40.6,21.2,1.1107,6.0118,0
17197,-0.0088,-0.9978,0.0554,-0.5267,5.7405,0.6107,40.6,21.2,1.1078,6.0434,0
17409,-0.0105,-0.9983,0.0569,-0.458,5.7252,0.2061,40.6,21.2,1.1081,6.0875,0
17621,-0.0061,-1.0,0.0557,-0.5115,6.1145,0.5115,40.6,21.2,1.1093,6.0552,0
17832,-0.01,-0.9976,0.0513,-0.771,6.0305,1.0229,40.6,21.2,1.1129,6.0535,0
18044,-0.0127,-1.0007,0.0508,-0.7481,5.6336,0.4351,40.6,21.2,1.1091,6.084,0
18256,-0.0095,-0.9971,0.054,-0.6489,5.7634,0.4885,40.4,20.0,1.1086,6.0102,0
18491,-0.012,-0.9944,0.0605,-0.3664,5.7939,0.5496,40.4,20.0,1.1102,6.0084,0
18703,-0.0112,-1.0037,0.0552,-0.4962,5.6107,0.6641,40.4,20.0,1.1034,6.025,0
18914,-0.0034,-1.002,0.0549,-0.3817,6.145,0.7252,40.4,20.0,1.1113,6.0098,0
19126,-0.0034,-0.9961,0.0542,-0.6718,5.7786,0.6794,40.4,20.0,1.1137,6.0255,0
19338,-0.01,-1.0024,0.0574,-0.6412,5.9237,0.542,40.4,20.0,1.1053,6.0664,0
19549,-0.0078,-0.9922,0.0566,-1.0458,6.2443,0.5496,40.4,20.0,1.1155,6.05,0
19761,-0.0076,-1.001,0.0522,-0.4427,6.1221,0.7099,40.4,20.0,1.1109,6.0528,0
19973,-0.0056,-0.9951,0.0557,-0.6641,5.8626,0.8321,40.4,20.0,1.1146,6.0641,0
20184,-0.0076,-0.9973,0.0557,-2.0687,5.7176,0.4427,40.4,20.0,1.1138,6.0491,0
20396,-0.0027,-0.9939,0.0544,-0.3435,6.0611,0.8244,40.4,21.3,1.1141,6.0249,0
20631,-0.0095,-1.0061,0.0518,-0.2061,6.0229,0.6565,40.4,21.3,1.0983,6.012,0
20843,-0.0046,-1.0054,0.0525,-0.6947,5.8092,0.5878,40.4,21.3,1.1111,6.0148,0
21055,-0.0093,-0.9998,0.061,-0.4275,6.1221,0.5802,40.4,21.3,1.1034,6.029,0
