timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temperature,humidity,current,motorVoltage,label
5413,-0.0015,-0.998,0.0459,-0.5954,6.0687,0.6183,37.6,20.0,1.1075,0.3751,0
5649,-0.0159,-1.001,0.0493,-0.3053,5.7252,0.6641,37.6,20.0,1.1122,0.4255,0
5860,-0.0046,-0.9993,0.0493,-0.5878,6.2901,0.7252,37.6,20.0,1.119,0.4399,0
6072,-0.0081,-0.9971,0.0503,-0.7481,5.9084,0.5802,37.6,20.0,1.1167,0.4336,0
6284,-0.0076,-0.9985,0.0503,-0.7328,5.8092,0.7557,37.6,20.0,1.1156,0.4313,0
6495,-0.0066,-0.9988,0.0522,-0.7405,5.7786,0.3206,37.6,20.0,1.1216,0.4319,0
6707,-0.0042,-0.9971,0.0525,-0.7481,5.5038,0.6183,37.6,20.0,1.1207,0.4356,0
6918,0.0015,-0.9995,0.0486,-0.9695,5.9695,0.5267,37.6,20.0,1.1234,0.4342,0
7130,-0.002,-0.9988,0.0527,-0.6412,6.1145,0.5191,37.6,20.0,1.1179,0.4271,0
7342,-0.0049,-0.9976,0.0542,-0.4809,5.855,0.4962,37.6,20.0,1.1194,0.4338,0
7553,-0.0017,-1.0012,0.0537,-0.855,5.9542,0.6565,37.8,20.0,2.2474,7.34,0
7789,-0.0393,-0.7793,0.3596,-7.2366,9.7099,10.4351,37.8,20.0,2.2845,7.3398,0
8000,-0.7532,-1.8369,-2.0,-0.4198,7.6794,7.0611,37.8,20.0,2.098,7.3873,0
8212,-1.4902,-0.8982,-2.0,-2.5038,12.9084,2.1145,37.8,20.0,2.2337,7.3714,0
8423,-2.0,-2.0,-2.0,-3.5038,-6.8015,-0.6336,37.8,20.0,2.1808,7.3832,0
8635,-2.0,-1.8416,1.9999,10.5649,-5.7634,-0.0076,37.8,20.0,2.2682,7.3801,0
8846,-2.0,-1.7974,0.1638,3.4198,19.0153,1.0458,37.8,20.0,2.1608,7.3958,0
